"","ENSEMBL","SYMBOL","SRR9309444_SAM_Outputfile_Counts","SRR9309445_SAM_Outputfile_Counts"
"137","ENSG00000006459","KDM7A",3562,1478
"138","ENSG00000006468","ETV1",555,341
"139","ENSG00000006530","AGK",2803,2412
"140","ENSG00000006534","ALDH3B1",1120,726
"141","ENSG00000006555","TTC22",0,1
"142","ENSG00000006576","PHTF2",8139,5358
"143","ENSG00000006606","CCL26",234,138
"144","ENSG00000006607","FARP2",9699,11370
"145","ENSG00000006611","USH1C",0,0
"146","ENSG00000006625","GGCT",1174,963
"147","ENSG00000006634","DBF4",318,204
"148","ENSG00000006638","TBXA2R",1703,1227
"149","ENSG00000006652","IFRD1",779,220
"150","ENSG00000006659","LGALS14",0,0
"151","ENSG00000006695","COX10",1326,1002
"152","ENSG00000006704","GTF2IRD1",3214,1662
"153","ENSG00000006712","PAF1",5826,6220
"154","ENSG00000006715","VPS41",7267,7689
"155","ENSG00000006740","ARHGAP44",2464,2024
"156","ENSG00000006744","ELAC2",8507,7250
"157","ENSG00000006747","SCIN",381,64
"158","ENSG00000006756","ARSD",1430,1603
"159","ENSG00000006757","PNPLA4",586,351
"160","ENSG00000006788","MYH13",1,0
"161","ENSG00000006831","ADIPOR2",9493,8461
"162","ENSG00000006837","CDKL3",107,50
"163","ENSG00000007001","UPP2",9,0
"164","ENSG00000007038","PRSS21",68,44
"165","ENSG00000007047","MARK4",10302,7232
"166","ENSG00000007062","PROM1",7,1
"167","ENSG00000007080","CCDC124",5631,5546
"168","ENSG00000007129","CEACAM21",12,4
"169","ENSG00000007168","PAFAH1B1",23987,23228
"170","ENSG00000007171","NOS2",24,10
"171","ENSG00000007174","DNAH9",2,4
"172","ENSG00000007202","KIAA0100",31113,35190
"173","ENSG00000007216","SLC13A2",0,0
"174","ENSG00000007237","GAS7",1622,780
"175","ENSG00000007255","TRAPPC6A",1084,701
"176","ENSG00000007264","MATK",126,9
"177","ENSG00000007306","CEACAM7",0,0
"178","ENSG00000007312","CD79B",15,10
"179","ENSG00000007314","SCN4A",19,25
"180","ENSG00000007341","ST7L",643,676
"181","ENSG00000007350","TKTL1",2,1
"182","ENSG00000007372","PAX6",3,2
"183","ENSG00000007376","RPUSD1",2107,1582
"184","ENSG00000007384","RHBDF1",6625,7597
"185","ENSG00000007392","LUC7L",2471,1298
"186","ENSG00000007402","CACNA2D2",148,65
"187","ENSG00000007516","BAIAP3",114,67
"188","ENSG00000007520","TSR3",4888,4575
"189","ENSG00000007541","PIGQ",4804,3706
"190","ENSG00000007545","CRAMP1",1934,1117
"191","ENSG00000007866","TEAD3",11207,9296
"192","ENSG00000007908","SELE",0,0
"193","ENSG00000007923","DNAJC11",3380,3586
"194","ENSG00000007933","FMO3",2058,503
"195","ENSG00000007944","MYLIP",648,657
"196","ENSG00000007952","NOX1",6,2
"197","ENSG00000007968","E2F2",5,11
"198","ENSG00000008018","PSMB1",8828,7715
"199","ENSG00000008056","SYN1",234,149
"200","ENSG00000008083","JARID2",2477,2284
"201","ENSG00000008086","CDKL5",5440,3935
"202","ENSG00000008118","CAMK1G",23,9
"203","ENSG00000008128","CDK11A",520,441
"204","ENSG00000008130","NADK",8229,7173
"205","ENSG00000008196","TFAP2B",10,13
"206","ENSG00000008197","TFAP2D",0,0
"207","ENSG00000008226","DLEC1",37,30
"208","ENSG00000008256","CYTH3",29178,22254
"209","ENSG00000008277","ADAM22",129,136
"210","ENSG00000008282","SYPL1",6879,4951
"211","ENSG00000008283","CYB561",3607,4694
"212","ENSG00000008294","SPAG9",26104,20402
"213","ENSG00000008300","CELSR3",934,514
"214","ENSG00000008311","AASS",1342,2091
"215","ENSG00000008323","PLEKHG6",108,112
"216","ENSG00000008324","SS18L2",696,514
"217","ENSG00000008382","MPND",813,837
"218","ENSG00000008394","MGST1",4654,4902
"219","ENSG00000008405","CRY1",3930,3118
"220","ENSG00000008438","PGLYRP1",2,6
"221","ENSG00000008441","NFIX",30025,37964
"222","ENSG00000008513","ST3GAL1",3377,2408
"223","ENSG00000008516","MMP25",110,81
"224","ENSG00000008517","IL32",30288,24388
"225","ENSG00000008710","PKD1",72118,36393
"226","ENSG00000008735","MAPK8IP2",91,66
"227","ENSG00000008838","MED24",6832,7097
"228","ENSG00000008853","RHOBTB2",6639,4602
"229","ENSG00000008869","HEATR5B",3972,2174
"230","ENSG00000008952","SEC62",16273,12008
"231","ENSG00000008988","RPS20",42982,34142
"232","ENSG00000009307","CSDE1",77833,59303
"233","ENSG00000009335","UBE3C",19763,17749
"234","ENSG00000009413","REV3L",6979,4713
"235","ENSG00000009694","TENM1",2,0
"236","ENSG00000009709","PAX7",2,0
"237","ENSG00000009724","MASP2",112,81
"238","ENSG00000009765","IYD",0,1
"239","ENSG00000009780","FAM76A",1111,979
"240","ENSG00000009790","TRAF3IP3",54,10
"241","ENSG00000009830","POMT2",3532,2124
"242","ENSG00000009844","VTA1",3937,3374
"243","ENSG00000009950","MLXIPL",52,21
"244","ENSG00000009954","BAZ1B",16091,10731
"245","ENSG00000010017","RANBP9",8355,7073
"246","ENSG00000010030","ETV7",523,436
"247","ENSG00000010072","SPRTN",1469,1036
"248","ENSG00000010165","METTL13",2897,2268
"249","ENSG00000010219","DYRK4",1852,1613
"250","ENSG00000010244","ZNF207",11136,11312
"251","ENSG00000010256","UQCRC1",16954,14724
"252","ENSG00000010270","STARD3NL",3350,3125
"253","ENSG00000010278","CD9",11848,16174
"254","ENSG00000010282","HHATL",1,1
"255","ENSG00000010292","NCAPD2",5460,4439
"256","ENSG00000010295","IFFO1",3926,3747
"257","ENSG00000010310","GIPR",568,382
"258","ENSG00000010318","PHF7",367,235
"259","ENSG00000010319","SEMA3G",13,4
"260","ENSG00000010322","NISCH",15621,13968
"261","ENSG00000010327","STAB1",702,658
"262","ENSG00000010361","FUZ",746,712
"263","ENSG00000010379","SLC6A13",9,10
"264","ENSG00000010404","IDS",3350,3562
"265","ENSG00000010438","PRSS3",809,1020
"266","ENSG00000010539","ZNF200",883,653
"267","ENSG00000010610","CD4",24990,20515
"268","ENSG00000010626","LRRC23",883,611
"269","ENSG00000010671","BTK",166,30
"270","ENSG00000010704","HFE",1367,1646
"271","ENSG00000010803","SCMH1",2099,2518
"272","ENSG00000010810","FYN",12831,10904
"273","ENSG00000010818","HIVEP2",10288,11107
"274","ENSG00000010932","FMO1",4,1
"275","ENSG00000011007","ELOA",6342,6114
"276","ENSG00000011009","LYPLA2",3717,3416
"277","ENSG00000011021","CLCN6",2788,2755
"278","ENSG00000011028","MRC2",69626,54230
"279","ENSG00000011052","NME1-NME2",84,93
"280","ENSG00000011083","SLC6A7",43,3
"281","ENSG00000011105","TSPAN9",7377,6994
"282","ENSG00000011114","BTBD7",5786,4954
"283","ENSG00000011132","APBA3",2857,2126
"284","ENSG00000011143","MKS1",957,610
"285","ENSG00000011198","ABHD5",2572,1589
"286","ENSG00000011201","ANOS1",464,61
"287","ENSG00000011243","AKAP8L",7096,5340
"288","ENSG00000011258","MBTD1",1304,774
"289","ENSG00000011260","UTP18",2397,1778
"290","ENSG00000011275","RNF216",16337,13762
"291","ENSG00000011295","TTC19",3939,3152
"292","ENSG00000011304","PTBP1",22605,20555
"293","ENSG00000011332","DPF1",548,211
"294","ENSG00000011347","SYT7",392,138
"295","ENSG00000011376","LARS2",2821,2585
"296","ENSG00000011405","PIK3C2A",8882,5610
"297","ENSG00000011422","PLAUR",5355,5825
"298","ENSG00000011426","ANLN",3143,3803
"299","ENSG00000011451","WIZ",11124,9607
"300","ENSG00000011454","RABGAP1",18205,11049
"301","ENSG00000011465","DCN",224857,239287
"302","ENSG00000011478","QPCTL",3467,3498
"303","ENSG00000011485","PPP5C",4825,4097
"304","ENSG00000011523","CEP68",4093,2443
"305","ENSG00000011566","MAP4K3",4131,2300
"306","ENSG00000011590","ZBTB32",16,13
"307","ENSG00000011600","TYROBP",1670,169
"308","ENSG00000011638","LDAF1",2580,1634
"309","ENSG00000011677","GABRA3",0,2
"310","ENSG00000012048","BRCA1",237,211
"311","ENSG00000012061","ERCC1",8613,9794
"312","ENSG00000012124","CD22",140,40
"313","ENSG00000012171","SEMA3B",3749,3863
"314","ENSG00000012174","MBTPS2",4538,4216
"315","ENSG00000012211","PRICKLE3",970,1010
"316","ENSG00000012223","LTF",155,137
"317","ENSG00000012232","EXTL3",11145,10935
"318","ENSG00000012504","NR1H4",0,1
